Country	Station Name	Period	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
ICELAND	Kirkjubaejarklaustur	1961-1990	145.0	130.4	130.6	115.1	117.6	131.0	120.8	158.7	140.7	184.8	136.5	133.1
ICELAND	Raufarhofn	1961-1990	76.0	56.5	65.8	46.7	28.0	38.8	48.1	58.0	72.5	86.2	79.8	75.5
ICELAND	Dalatangi	1961-1990	134.5	102.7	116.0	86.7	92.8	86.5	97.2	113.6	160.0	169.0	129.2	121.3
INDIA	SRINAGAR	1971-1990	48.0	68.0	121.0	85.0	68.0	39.0	62.0	76.0	28.0	33.0	28.0	54.0
INDIA	AMRITSAR	1971-1990	24.0	33.0	48.0	29.0	25.0	62.0	231.0	187.0	79.0	18.0	6.0	18.0
INDIA	LUDHIANA	1971-1990	21.0	39.0	31.0	20.0	20.0	60.0	229.0	189.0	85.0	5.0	13.0	21.0
INDIA	MUKTESWAR/KUMAON	1971-1990	44.0	57.0	66.0	40.0	70.0	151.0	313.0	281.0	197.0	43.0	10.0	29.0
INDIA	BIKANER	1971-1990	5.0	7.0	10.0	7.0	31.0	46.0	106.0	71.0	34.0	4.0	3.0	1.0
INDIA	NEW DELHI(SFD)	1971-1990	19.0	20.0	15.0	21.0	25.0	70.0	237.0	235.0	113.0	17.0	9.0	9.0
INDIA	AGRA	1971-1990	9.0	12.0	10.0	10.0	16.0	67.0	196.0	227.0	113.0	27.0	3.0	5.0
INDIA	DIBRUGARH/MOHANBARI	1971-1990	29.0	52.0	87.0	247.0	247.0	392.0	546.0	429.0	354.0	143.0	19.0	24.0
INDIA	DARBHANGA	1971-1990	13.0	14.0	9.0	29.0	76.0	139.0	353.0	254.0	193.0	73.0	6.0	7.0
INDIA	GUWAHATI	1971-1990	8.0	21.0	47.0	181.0	226.0	309.0	377.0	227.0	199.0	92.0	25.0	10.0
INDIA	KOTA(A)	1971-1990	5.0	7.0	3.0	4.0	14.0	83.0	259.0	243.0	95.0	28.0	20.0	5.0
INDIA	ALLAHABAD	1976-1990	18.0	18.0	8.0	6.0	12.0	113.0	265.0	266.0	199.0	34.0	9.0	10.0
INDIA	CHERRAPUNJI	1971-1990	11.0	46.0	240.0	938.0	1214.0	2294.0	3272.0	1760.0	1352.0	549.0	72.0	29.0
INDIA	DALTONGANJ	1971-1990	12.0	29.0	14.0	20.0	34.0	158.0	356.0	290.0	206.0	66.0	9.0	11.0
INDIA	DUMKA	1971-1990	9.0	15.0	21.0	35.0	72.0	198.0	343.0	293.0	273.0	116.0	9.0	7.0
INDIA	AHMEDABAD	1971-1990	2.0	1.0	.0	3.0	20.0	103.0	247.0	288.0	83.0	23.0	14.0	5.0
INDIA	SAGAR	1971-1990	27.0	14.0	4.0	2.0	16.0	170.0	350.0	467.0	162.0	33.0	19.0	15.0
INDIA	DWARKA	1971-1990	1.0	4.0	.0	.0	1.0	60.0	97.0	78.0	21.0	10.0	2.0	1.0
INDIA	INDORE	1971-1990	4.0	3.0	1.0	3.0	11.0	136.0	279.0	360.0	185.0	52.0	21.0	7.0
INDIA	CALCUTTA/ALIPORE	1971-1990	11.0	30.0	35.0	60.0	142.0	288.0	411.0	349.0	288.0	143.0	26.0	17.0
INDIA	NAGPUR/SONEGAON	1971-1990	16.0	22.0	15.0	8.0	18.0	168.0	290.0	291.0	157.0	73.0	17.0	19.0
INDIA	VERAVAL	1971-1990	1.0	1.0	.0	1.0	1.0	207.0	229.0	168.0	79.0	15.0	33.0	.0
INDIA	AKOLA	1971-1990	12.0	13.0	7.0	2.0	10.0	153.0	222.0	237.0	107.0	48.0	20.0	10.0
INDIA	BHUBANESHWAR	1971-1990	4.0	27.0	28.0	26.0	67.0	209.0	317.0	389.0	241.0	127.0	48.0	9.0
INDIA	JAGDALPUR	1971-1990	7.0	11.0	12.0	44.0	90.0	295.0	352.0	367.0	200.0	87.0	26.0	4.0
INDIA	MUMBAI(BOMBAY)COLABA	1971-1990	.0	.0	.0	2.0	12.0	592.0	682.0	487.0	307.0	61.0	23.0	2.0
INDIA	PUNE	1971-1990	.0	3.0	2.0	11.0	40.0	138.0	163.0	129.0	155.0	68.0	28.0	4.0
INDIA	HYDERABAD(BEGUMPET)	1971-1990	6.0	9.0	16.0	17.0	40.0	116.0	155.0	163.0	152.0	97.0	29.0	3.0
INDIA	VISAKHAPATNAM	1971-1990	12.0	12.0	17.0	39.0	48.0	103.0	133.0	169.0	160.0	179.0	79.0	4.0
INDIA	MUSULIPATNAM	1971-1990	6.0	9.0	7.0	9.0	20.0	86.0	171.0	181.0	156.0	177.0	116.0	21.0
INDIA	GOA(PANJIM)	1971-1990	.0	.0	1.0	5.0	56.0	891.0	853.0	622.0	237.0	111.0	35.0	2.0
INDIA	BELGAUM(SAMBRE)	1971-1990	1.0	4.0	10.0	47.0	83.0	186.0	224.0	144.0	124.0	82.0	38.0	4.0
INDIA	MADRAS	1971-1990	27.0	34.0	4.0	12.0	39.0	71.0	121.0	138.0	161.0	373.0	409.0	152.0
INDIA	BANGALORE	1971-1990	1.0	7.0	16.0	32.0	104.0	78.0	106.0	119.0	244.0	127.0	52.0	19.0
INDIA	KOZHIKODE	1971-1990	2.0	2.0	11.0	84.0	242.0	815.0	770.0	472.0	238.0	230.0	172.0	25.0
INDIA	PORT BLAIR	1971-1990	36.0	21.0	9.0	70.0	346.0	456.0	400.0	425.0	403.0	295.0	254.0	157.0
INDIA	PAMBAN	1971-1990	49.0	25.0	17.0	39.0	48.0	2.0	18.0	9.0	29.0	224.0	240.0	212.0
INDIA	MINICOY	1971-1990	13.0	23.0	21.0	60.0	189.0	293.0	230.0	241.0	184.0	147.0	145.0	67.0
INDIA	THIRUVANANTHAPURAM	1971-1990	26.0	21.0	33.0	125.0	202.0	306.0	175.0	152.0	179.0	223.0	206.0	65.0
IRAN, ISLAMIC REPUBLIC OF	TABRIZ	1961-1990	25.8	25.3	47.0	53.6	41.9	18.1	3.2	4.4	9.4	28.4	28.0	26.0
IRAN, ISLAMIC REPUBLIC OF	OROOMIEH	1961-1990	32.3	31.8	50.2	58.5	46.6	15.1	4.1	2.6	3.9	31.2	37.2	32.8
IRAN, ISLAMIC REPUBLIC OF	BANDAR ANZALI	1961-1990	192.9	127.5	109.0	55.8	48.1	48.4	46.0	120.3	217.0	359.1	266.9	227.7
IRAN, ISLAMIC REPUBLIC OF	RASHT	1961-1990	147.9	119.2	111.3	61.6	53.3	38.7	40.2	73.8	142.6	230.2	170.7	166.0
IRAN, ISLAMIC REPUBLIC OF	ZANJAN	1961-1990	33.5	30.0	45.7	56.5	46.2	7.3	4.6	3.4	4.2	26.0	28.8	29.2
IRAN, ISLAMIC REPUBLIC OF	RAMSAR	1961-1990	86.5	73.7	85.6	46.9	47.6	51.0	36.4	77.5	152.5	273.1	172.9	124.9
IRAN, ISLAMIC REPUBLIC OF	BABOLSAR	1961-1990	96.1	67.2	67.2	31.9	19.3	20.8	25.1	61.3	82.2	163.2	119.3	131.0
IRAN, ISLAMIC REPUBLIC OF	SHAHROUD	1961-1990	28.6	19.3	28.0	23.7	21.5	3.9	1.5	1.8	2.3	7.9	9.4	19.8
IRAN, ISLAMIC REPUBLIC OF	MASHHAD	1961-1990	33.1	36.4	52.0	48.8	25.5	3.0	0.9	0.7	1.5	11.2	15.7	26.9
IRAN, ISLAMIC REPUBLIC OF	TEHRAN MEHRABAD	1961-1990	37.2	34.0	37.4	27.8	15.2	2.9	2.5	1.4	0.9	13.7	20.6	36.3
IRAN, ISLAMIC REPUBLIC OF	SEMNAN	1965-1990	22.1	20.7	22.7	13.7	14.6	3.1	1.9	3.1	1.4	7.6	9.1	19.5
IRAN, ISLAMIC REPUBLIC OF	KERMANSHAH	1961-1990	67.1	62.9	88.9	69.9	33.7	0.5	0.3	0.3	1.3	29.2	54.3	70.3
IRAN, ISLAMIC REPUBLIC OF	HAMEDAN NOZHEH	1961-1990	46.3	43.6	49.4	49.8	37.8	3.7	2.0	1.8	0.8	20.7	26.9	40.9
IRAN, ISLAMIC REPUBLIC OF	ARAK	1961-1990	54.7	47.6	53.1	53.4	31.9	1.5	0.6	1.1	0.7	18.5	31.6	51.0
IRAN, ISLAMIC REPUBLIC OF	KHORAM ABAD	1961-1990	86.0	73.1	82.5	71.6	36.5	0.3	0.1	0.2	1.2	23.5	54.3	83.6
IRAN, ISLAMIC REPUBLIC OF	DEZFUL	1961-1990	100.6	60.0	50.2	34.5	9.2	0.0	0.2	0.0	0.0	7.4	39.1	83.2
IRAN, ISLAMIC REPUBLIC OF	ESFAHAN	1961-1990	17.1	14.1	18.2	19.2	8.8	0.6	0.7	0.2	0.0	4.1	9.9	19.6
IRAN, ISLAMIC REPUBLIC OF	BIRJAND	1961-1990	31.3	32.4	35.1	31.6	7.1	0.3	0.1	0.2	0.0	2.6	8.4	19.7
IRAN, ISLAMIC REPUBLIC OF	YAZD	1961-1990	10.3	11.2	12.9	9.1	4.0	0.1	0.1	0.0	0.1	1.4	2.7	8.1
IRAN, ISLAMIC REPUBLIC OF	ABADAN	1961-1990	34.8	23.1	18.4	14.8	4.0	0.0	0.0	0.0	0.1	3.1	20.4	30.4
IRAN, ISLAMIC REPUBLIC OF	KERMAN	1961-1990	29.0	26.7	32.0	19.5	8.6	0.5	0.7	0.6	0.3	0.7	5.1	18.4
IRAN, ISLAMIC REPUBLIC OF	SHIRAZ	1961-1990	79.8	49.8	48.4	30.6	6.6	0.2	1.0	0.1	0.0	5.2	20.7	63.2
IRAN, ISLAMIC REPUBLIC OF	ZAHEDAN	1961-1990	19.3	21.1	13.6	9.5	3.9	0.4	0.8	0.9	0.2	1.8	3.4	7.2
IRAN, ISLAMIC REPUBLIC OF	BUSHEHR	1961-1990	66.4	33.9	20.3	8.7	1.5	0.0	0.0	0.0	0.0	8.4	27.3	62.0
IRAN, ISLAMIC REPUBLIC OF	BANDAR ABASS	1961-1990	39.7	47.5	34.8	10.7	4.8	0.0	0.6	2.2	0.8	1.3	5.0	24.0
IRAN, ISLAMIC REPUBLIC OF	IRANSHAHR	1964-1990	24.8	25.0	19.2	5.6	2.6	2.6	14.3	5.2	1.5	0.8	1.5	11.6
IRAN, ISLAMIC REPUBLIC OF	BANDAR LENGEH	1966-1990	31.9	34.9	25.8	10.1	0.4	0.3	0.1	4.2	0.0	0.4	2.6	27.6
IRAN, ISLAMIC REPUBLIC OF	CHAHBAHAR	1963-1990	29.4	37.9	14.9	6.1	0.1	0.5	6.2	2.1	1.2	0.0	4.4	13.7
IRELAND	VALENTIA OBSERVATORY	1961-1990	167.0	123.0	122.0	77.0	88.0	80.0	73.0	111.0	125.0	157.0	147.0	159.0
IRELAND	CORK AP	1961-1990	148.0	115.0	97.0	70.0	84.0	68.0	65.0	90.0	97.0	126.0	109.0	136.0
IRELAND	ROSSLARE	1961-1990	95.0	70.0	67.0	56.0	55.0	51.0	51.0	71.0	72.0	95.0	98.0	98.0
IRELAND	KILKENNY	1961-1990	87.0	66.0	63.0	52.0	62.0	50.0	53.0	71.0	72.0	85.0	74.0	88.0
IRELAND	SHANNON AP	1961-1990	98.0	71.0	71.0	56.0	60.0	63.0	57.0	82.0	82.0	93.0	95.0	99.0
IRELAND	BIRR	1961-1990	76.0	54.0	61.0	53.0	61.0	56.0	59.0	78.0	71.0	84.0	74.0	78.0
IRELAND	DUBLIN AP	1961-1990	69.0	50.0	53.0	51.0	55.0	56.0	50.0	71.0	66.0	70.0	64.0	76.0
IRELAND	CLAREMORRIS	1961-1990	121.0	83.0	96.0	62.0	77.0	72.0	63.0	97.0	104.0	126.0	119.0	123.0
IRELAND	CLONES	1961-1990	91.0	67.0	78.0	56.0	67.0	68.0	60.0	86.0	83.0	97.0	85.0	90.0
IRELAND	BELMULLET	1961-1990	124.0	80.0	96.0	57.0	68.0	68.0	68.0	94.0	109.0	134.0	127.0	119.0
IRELAND	MALIN HEAD	1961-1990	114.0	77.0	86.0	57.0	59.0	65.0	72.0	92.0	102.0	119.0	115.0	103.0
ISRAEL	BET DAGAN	1961-1990	138.8	88.4	60.4	19.6	2.1				0.4	27.4	72.4	143.4
ISRAEL	JERUSALEM	1961-1990	143.4	113.3	97.9	31.5	2.0				0.2	23.6	67.8	110.3
ISRAEL	EILAT	1961-1990	5.0	5.0	4.0	3.0	1.4					3.0	4.0	6.0
ITALY	RESIA PASS	1961-1990	28.2	29.2	28.8	36.5	70.9	63.6	83.7	90.7	56.5	37.8	46.7	31.4
ITALY	BOLZANO(CIV/IT-AFB)	1961-1990	25.6	26.4	44.6	52.6	82.2	80.6	92.5	92.0	67.3	56.5	54.7	26.6
ITALY	ROLLE PASS	1961-1990	43.1	43.0	54.1	64.1	108.6	133.2	147.7	140.1	106.9	93.3	83.5	39.4
ITALY	PAGANELLA MOUNTAIN	1961-1990	30.9	23.7	40.9	40.0	67.6	86.3	95.4	93.7	90.3	73.1	50.5	27.4
ITALY	DOBBIACO	1961-1990	27.6	33.9	40.7	45.1	79.1	92.8	109.1	101.9	66.5	54.7	48.2	31.6
ITALY	TARVISIO	1961-1990	78.1	74.0	98.9	128.2	140.4	144.4	136.8	154.7	137.1	126.6	156.1	95.8
ITALY	RIVOLTO (IT-AFB)	1969-1990	89.1	71.9	103.1	119.1	125.9	136.2	79.0	90.2	99.0	124.3	107.3	103.6
ITALY	TORINO/CASELLE	1961-1990	40.5	52.5	76.9	104.1	120.3	97.6	66.6	79.8	70.1	88.9	75.5	41.6
ITALY	TORINO/BRIC CROCE	1961-1990	29.7	42.8	51.5	90.4	113.3	82.3	46.4	73.4	63.7	73.8	51.1	29.3
ITALY	CAMERI (IT-AFB)	1964-1990	59.0	73.3	94.8	103.7	126.8	81.5	54.8	84.7	71.9	109.8	83.1	49.5
ITALY	MILANO/MALPENSA	1961-1990	67.5	77.1	99.7	106.3	132.0	93.3	66.8	97.5	73.2	107.4	106.3	54.6
ITALY	BISBINO MOUNTAIN	1961-1990	60.7	54.8	81.0	126.8	174.1	162.6	118.7	159.6	141.2	141.4	94.8	54.4
ITALY	BERGAMO/ORIO SERIO	1961-1990	71.0	64.3	83.0	89.4	127.1	112.6	110.1	129.2	94.2	108.6	110.6	55.5
ITALY	MILANO/LINATE	1961-1990	64.3	62.6	81.6	82.2	96.5	65.4	68.0	93.0	68.5	99.7	101.0	60.4
ITALY	PIACENZA (IT-AFB)	1961-1990	62.5	70.1	77.3	77.7	71.1	62.5	37.8	66.5	56.6	93.5	91.1	70.2
ITALY	GHEDI (IT-AFB)	1961-1990	59.6	53.9	63.8	69.2	91.7	75.0	72.5	84.8	62.4	83.7	78.6	53.8
ITALY	VILLAFRANCA(CV/MIL)	1961-1990	54.5	47.8	57.8	68.8	85.4	86.2	61.5	87.5	62.6	81.5	75.3	50.6
ITALY	VICENZA(CIV/IT-AFB)	1961-1990	84.7	77.4	90.0	95.7	102.7	103.2	73.4	100.7	76.7	93.9	109.2	79.3
ITALY	PADOVA (CIV/IT-AFB)	1961-1990	70.4	56.9	67.0	68.1	78.6	88.0	64.2	79.8	58.2	65.5	86.7	62.4
ITALY	ISTRANA (IT-AFB)	1961-1990	63.1	61.6	69.2	81.8	102.9	108.7	66.4	88.4	73.4	81.6	98.3	61.4
ITALY	TREVISO(CIV/IT-AFB)	1961-1990	66.7	64.5	70.8	67.7	89.5	104.8	65.9	90.9	77.5	80.7	86.7	62.4
ITALY	VENEZIA/TESSERA	1961-1990	58.1	54.2	57.1	64.3	68.7	76.4	63.1	83.1	66.0	69.0	87.3	53.7
ITALY	RONCHI LEGIONARI AB	1967-1990	83.0	77.0	74.8	97.8	92.9	105.2	75.3	103.4	109.3	102.8	111.0	95.7
ITALY	TRIESTE	1961-1990	71.2	61.8	76.7	86.8	81.0	101.6	71.2	100.6	102.3	86.6	113.7	91.9
ITALY	GENOVA/SESTRI	1962-1990	106.4	95.1	105.8	85.3	75.6	53.2	26.8	80.8	98.6	153.0	110.5	81.1
ITALY	ALBENGA	1961-1990	101.4	89.7	90.4	81.6	76.1	38.2	21.3	43.3	55.0	105.5	96.8	78.9
ITALY	CISA PASS	1961-1990	139.0	116.1	128.4	143.8	113.4	98.7	49.2	80.8	103.6	190.6	999.9	999.9
ITALY	SARZANA/LUNI	1970-1990	138.6	97.6	100.6	101.8	83.8	53.1	28.1	56.6	79.6	148.7	139.7	120.0
ITALY	CIMONE MOUNTAIN	1961-1990	50.2	42.8	53.9	50.9	57.9	59.9	51.2	74.5	76.8	80.2	80.1	53.8
ITALY	BOLOGNA/BORGO (AFB)	1961-1990	42.9	44.9	60.4	67.0	65.0	52.6	42.8	57.9	61.0	71.6	81.3	61.0
ITALY	POINT MARINA/RAVENN	1961-1990	44.2	36.9	53.4	47.8	44.5	45.8	44.8	61.2	60.7	51.3	68.0	46.8
ITALY	CERVIA (IT-AFB)	1968-1990	44.4	49.2	57.3	53.9	45.0	46.5	71.3	59.7	72.0	55.4	77.3	55.2
ITALY	RIMINI (CIV/IT-AFB)	1961-1990	47.8	48.1	57.0	53.2	50.2	51.1	53.6	66.7	68.0	77.1	73.0	56.6
ITALY	CAPE MELE	1964-1990	71.0	72.9	68.5	65.3	53.6	32.6	11.9	34.2	57.4	96.8	69.8	65.4
ITALY	PISA (CIV/IT-AFB)	1961-1990	74.1	69.7	77.1	79.6	60.6	43.0	24.0	56.7	87.9	120.0	122.1	85.2
ITALY	VOLTERRA	1965-1990	64.7	68.6	72.0	70.5	61.9	56.6	46.2	59.8	79.3	88.2	95.8	68.7
ITALY	MOUNT ARGENTARIO	1964-1990	50.9	37.6	43.3	28.3	24.8	16.0	8.6	23.0	28.4	58.0	48.3	52.2
ITALY	FIRENZE/PERETOLA	1961-1990	73.1	69.2	80.1	77.5	72.6	54.7	39.6	76.1	77.5	87.8	111.2	91.3
ITALY	AREZZO	1961-1990	59.7	54.6	59.4	61.7	64.7	52.4	36.8	50.9	61.8	74.6	92.5	71.8
ITALY	FRONTONE	1961-1990	75.9	86.4	91.4	95.7	106.7	88.4	65.1	92.4	100.4	109.8	140.0	106.0
ITALY	PERUGIA	1968-1990	58.4	67.6	61.8	70.3	73.5	70.8	45.2	59.6	69.1	74.9	93.4	71.4
ITALY	FALCONARA (IT-AFB)	1964-1990	51.3	53.3	68.4	54.4	60.0	55.4	52.1	83.6	73.4	72.0	79.5	73.6
ITALY	M. CALAMITA	1961-1990	61.9	71.7	58.4	50.2	40.5	27.6	15.1	31.1	58.6	96.0	86.3	65.1
ITALY	RADICOFANI	1965-1990	44.8	51.4	47.9	52.9	53.2	34.6	34.4	46.7	58.9	68.5	76.8	56.3
ITALY	GROSSETO (IT-AFB)	1961-1990	64.1	56.7	56.2	49.6	39.9	27.1	20.2	37.4	64.5	86.8	93.8	64.9
ITALY	CIVITAVECCHIA	1965-1990	94.1	70.7	50.1	53.1	41.8	18.9	9.1	25.8	55.8	83.0	89.0	71.4
ITALY	VITERBO (IT-MIL)	1961-1990	57.0	60.2	49.3	61.0	54.9	57.0	28.5	54.0	57.9	86.7	92.9	68.7
ITALY	TERMINILLO MOUNTAIN	1961-1990			38.6	61.8	75.5	89.3	55.4	73.0	88.1	98.9		
ITALY	VIGNA DI VALLE(MIL)	1961-1990	108.5	96.3	76.7	78.5	55.7	40.5	19.3	46.0	84.8	110.2	131.8	117.0
ITALY	PRETURO	1961-1981	38.8	51.9	45.6	67.0	83.4	87.8	88.5	82.8	106.9	112.4	75.4	57.7
ITALY	PESCARA	1961-1990	54.7	52.6	62.9	55.3	34.6	43.9	33.8	53.7	61.2	73.5	71.3	76.8
ITALY	TERMOLI	1961-1991	28.8	26.6	26.6	22.5	22.6	25.1	24.1	32.1	44.3	45.3	46.2	41.2
ITALY	GUIDONIA (IT-AFB)	1961-1990	74.6	74.2	61.0	66.5	56.6	43.7	27.8	45.0	71.2	88.7	102.8	87.1
ITALY	ROME/URBE (IT-AFB)	1961-1990	82.6	76.0	68.0	68.2	47.3	41.0	22.7	36.1	75.0	107.7	120.2	92.5
ITALY	CIAMPINO(IT-AFB/CV)	1961-1990	102.6	98.5	67.5	65.4	48.2	34.4	22.9	32.8	68.1	93.7	129.6	111.0
ITALY	ROME/FIUMICINO	1961-1990	80.7	74.9	65.0	54.7	31.8	16.3	14.7	33.3	68.2	93.4	110.5	89.6
ITALY	LATINA (IT-AFB)	1961-1990	98.4	86.1	77.0	77.1	48.1	36.3	23.8	41.8	80.1	114.9	142.4	104.7
ITALY	FROSINONE (IT-AFB)	1961-1990	132.6	128.2	100.2	98.9	68.5	50.6	39.9	65.3	95.2	141.7	202.2	175.4
ITALY	PRATICA DI MARE(AB)	1962-1990	75.0	81.4	72.4	59.6	36.7	28.5	11.2	29.7	77.0	121.3	119.4	107.3
ITALY	CAMPOBASSO	1961-1990	55.2	59.5	50.3	50.9	47.8	35.7	35.2	40.2	45.6	57.8	81.0	68.3
ITALY	GRAZZANISE (IT-AFB)	1964-1990	103.5	81.3	72.2	69.2	43.8	28.2	18.6	47.1	77.5	117.5	136.0	103.4
ITALY	SANT'ANGELO (MOUNT)	1961-1990	58.1	44.7	48.3	48.2	37.6	46.0	43.9	38.5	67.1	52.2	62.0	66.7
ITALY	AMENDOLA (IT-AFB)	1961-1990	41.7	40.5	42.9	36.4	37.1	35.6	26.0	27.2	45.6	52.6	52.6	56.5
ITALY	TREVICO	1961-1990	64.8	61.4	53.0	47.7	37.8	32.9	25.8	26.5	46.9	63.9	72.0	79.7
ITALY	BARI/PALESE MACCHIE	1961-1990	50.8	57.2	52.1	47.4	36.7	32.0	27.0	39.2	62.0	64.6	54.1	63.0
ITALY	PONZA ISLAND	1961-1990	77.9	63.7	52.6	37.8	21.3	13.3	10.0	25.4	53.9	106.5	106.3	88.6
ITALY	NAPLES/CAPODICHINO	1961-1990	104.4	97.9	85.7	75.5	49.6	34.1	24.3	41.6	80.3	129.7	162.1	121.4
ITALY	POTENZA	1961-1990	62.9	53.9	53.0	59.9	45.7	42.2	29.4	35.6	45.0	69.7	79.8	73.5
ITALY	CAPE PALINURO	1961-1990	95.0	84.5	72.7	57.2	40.4	22.3	14.0	22.3	60.1	101.6	112.9	106.8
ITALY	GIOIA DEL COLLE AFB	1961-1990	53.0	67.5	66.9	41.7	46.3	39.2	28.3	41.6	49.0	68.7	66.5	67.9
ITALY	LATRONICO	1961-1990	108.6	98.9	83.5	79.6	56.3	42.4	22.4	45.7	60.4	101.5	132.0	145.5
ITALY	BRINDISI/CASALE AFB	1961-1990	60.2	63.1	73.4	35.0	28.7	19.4	10.3	25.3	45.6	71.0	74.2	68.1
ITALY	GROTTAGLIE(CIV/AFB)	1961-1990	46.2	52.8	62.6	35.9	34.3	27.1	27.1	24.9	36.2	60.4	70.9	73.0
ITALY	MARINA DI GINOSA	1966-1991	44.1	50.9	43.3	28.4	26.8	21.1	15.9	21.4	35.4	58.8	51.9	58.1
ITALY	LECCE (IT-AFB)	1961-1990	63.0	53.6	67.6	38.4	27.5	20.3	18.2	32.3	53.5	80.6	91.0	81.4
ITALY	BONIFATI (CAPE)	1961-1990	111.1	115.5	102.8	86.9	53.7	32.0	18.3	35.9	67.2	126.1	134.5	134.7
ITALY	SCURO MOUNTAIN	1961-1990	93.2	87.4	69.8	58.1	49.5	37.1	21.4	34.3	50.6	93.6	107.5	108.0
ITALY	CROTONE	1961-1990	89.5	54.9	75.1	38.6	24.7	8.2	11.2	17.5	48.3	102.7	106.2	103.7
ITALY	SANTA MARIA DI LEUC	1961-1990	72.6	60.2	63.7	29.2	19.3	18.4	17.0	21.8	40.4	96.5	90.1	86.2
ITALY	USTICA ISLAND	1961-1990	47.5	45.4	35.0	34.7	18.2	8.9	3.6	10.6	37.4	67.3	71.0	68.9
ITALY	PALERMO/POINT RAISI	1961-1990	71.6	65.4	59.5	44.1	25.5	12.2	5.1	13.3	41.5	98.0	94.3	80.0
ITALY	MESSINA	1961-1990	113.3	98.4	83.8	59.9	31.9	13.6	19.2	24.4	54.7	108.6	106.5	117.2
ITALY	TRAPANI/BIRGI (AFB)	1961-1990	56.3	45.8	44.9	36.9	16.8	4.7	2.4	8.7	41.6	60.8	64.7	65.0
ITALY	PRIZZI	1961-1990	71.2	55.1	51.4	46.0	26.2	10.1	11.1	16.9	36.0	71.1	68.6	80.7
ITALY	GELA	1965-1990	46.4	35.5	29.0	23.7	16.8	2.9	3.3	11.0	20.1	55.9	54.4	55.2
ITALY	SIGONELLA (NAS)	1961-1990	58.5	47.0	30.2	35.5	22.8	6.1	2.4	13.8	37.1	74.8	48.5	68.1
ITALY	CATANIA/FONTANAROSA	1961-1990	74.8	52.6	46.0	35.4	19.2	6.0	5.0	8.9	45.0	106.1	62.3	85.9
ITALY	PANTELLERIA(IT-AFB)	1961-1990	77.0	48.3	36.5	32.2	14.3	6.0	1.1	14.0	40.8	64.9	69.1	80.4
ITALY	COZZO SPADARO	1961-1990	60.8	42.7	32.5	17.8	12.9	26.5	2.0	5.1	25.2	78.0	50.7	71.1
ITALY	LAMPEDUSA ISLAND	1961-1990	42.6	29.7	23.6	21.5	6.0	2.3	1.0	2.8	15.5	59.3	63.3	51.5
ITALY	GUARDIAVECCHIA	1961-1990	43.6	48.3	49.6	35.7	24.7	11.1	11.7	18.8	29.5	61.2	60.6	74.3
ITALY	ALGHERO	1961-1990	64.5	67.5	51.2	44.7	24.7	12.9	5.1	11.9	38.9	75.9	103.7	89.1
ITALY	OLBIA/COSTA SMERALD	1970-1990	47.3	72.6	63.4	56.1	37.4	18.4	6.4	28.1	40.8	58.4	55.6	97.9
ITALY	FONNI	1961-1990	101.6	93.2	76.9	81.1	60.7	31.4	13.2	15.6	48.8	81.1	97.0	100.1
ITALY	CAPE FRASCA	1962-1990	82.5	66.1	51.8	47.7	28.4	11.7	4.4	6.4	41.9	62.7	103.7	71.4
ITALY	PERDASDEFOGU	1961-1990	56.6	59.6	54.6	48.6	25.9	22.5	13.6	24.2	39.7	52.7	69.2	97.3
ITALY	DECIMOMANNU(IT-AFB)	1961-1990	47.7	65.7	51.8	46.8	24.2	11.3	3.2	14.2	37.3	54.4	65.7	61.2
ITALY	CAPE BELLAVISTA	1961-1990	32.0	41.8	41.0	32.4	23.2	11.4	3.9	12.9	42.9	71.0	57.5	72.7
ITALY	CAGLIARI/ELMAS(AFB)	1961-1990	45.8	57.1	44.1	37.1	23.9	9.2	3.2	8.5	30.6	55.6	56.0	55.3
ITALY	CAPE CARBONARA	1961-1990	28.2	36.3	22.2	16.1	11.5	3.2	3.9	7.6	47.5	38.0	24.1	26.9
IVORY COAST	ODIENNE - AERO	1961-1990	43.0	10.6	33.4	78.9	118.8	153.4	283.5	342.2	251.2	140.6	31.5	13.6
IVORY COAST	BONDOUKOU	1961-1990	7.9	26.9	92.3	123.7	156.1	160.2	96.5	90.0	175.1	130.5	31.6	11.1
IVORY COAST	MAN - AERO	1961-1990	10.8	43.4	109.3	152.8	147.5	183.7	185.6	273.6	285.0	134.5	42.1	19.5
IVORY COAST	BOUAKE - AERO	1961-1990	12.5	40.0	83.8	126.4	123.7	147.2	117.5	128.0	168.1	107.9	30.2	14.6
IVORY COAST	GAGNOA	1961-1990	23.5	63.4	123.1	162.8	177.5	205.8	89.4	95.4	172.0	159.2	96.4	37.5
IVORY COAST	DIMBOKRO	1961-1990	11.9	48.0	11.9	139.4	161.0	205.6	112.4	74.8	125.5	119.9	60.4	22.6
IVORY COAST	ABIDJAN - AERODROME	1961-1990	16.3	48.9	106.7	141.3	293.5	561.8	205.7	36.8	80.5	137.7	143.3	75.1
IVORY COAST	ADIAKE	1961-1990	24.7	68.9	111.4	150.4	287.3	528.2	206.4	69.7	117.0	158.7	140.2	58.9
IVORY COAST	TABOU	1961-1990	45.6	43.1	75.7	134.1	367.4	544.3	222.0	154.3	233.9	169.3	178.0	130.8
